date,Power_kW,RF_pred
2019-01-05 16:00:00,184.627,158.56052484084228
2019-01-05 17:00:00,190.753,158.50126939524523
2019-01-05 18:00:00,195.251,165.41788062561304
2019-01-05 19:00:00,146.042,160.5861209035307
2019-01-05 20:00:00,129.314,126.80569644489587
2019-01-05 21:00:00,124.963,111.16701562888639
2019-01-05 22:00:00,104.955,109.95794974245636
2019-01-05 23:00:00,105.516,102.76515338151675
2019-01-07 00:00:00,101.235,106.67013304719785
2019-01-07 01:00:00,95.956,102.6136682684272
2019-01-07 02:00:00,98.336,96.2366103306069
2019-01-07 03:00:00,102.791,99.03584959921558
2019-01-07 04:00:00,98.346,101.14997823547728
2019-01-07 05:00:00,98.923,99.06060143802637
2019-01-07 06:00:00,110.653,106.1714911772304
2019-01-07 07:00:00,368.139,223.85813678052784
2019-01-07 08:00:00,263.814,327.7733441655409
2019-01-07 09:00:00,322.372,289.6144339432443
2019-01-07 10:00:00,344.52,338.1030118472452
2019-01-07 11:00:00,389.494,343.79990380499294
2019-01-07 12:00:00,380.159,353.0529879346348
2019-01-07 13:00:00,366.705,347.95117624187156
2019-01-07 14:00:00,378.787,369.5555446350886
2019-01-07 15:00:00,429.535,368.846157866678
2019-01-07 16:00:00,399.23,363.589458547129
2019-01-07 17:00:00,378.622,344.25239259667535
2019-01-07 18:00:00,356.039,322.7260192083407
2019-01-07 19:00:00,195.121,197.49521791603937
2019-01-07 20:00:00,143.578,150.75447013864294
2019-01-07 21:00:00,114.923,118.9392146814524
2019-01-07 22:00:00,116.434,107.86297213901959
2019-01-07 23:00:00,110.868,110.53887135077031
2019-01-08 00:00:00,116.142,108.5988904737332
2019-01-08 01:00:00,108.409,113.88508466937648
2019-01-08 11:00:00,356.883,122.49719742297651
2019-01-08 12:00:00,385.351,368.36339128946986
2019-01-08 13:00:00,400.277,354.10197863794224
2019-01-08 14:00:00,381.394,402.3477845263642
2019-01-08 15:00:00,385.3,380.5451355355607
2019-01-08 16:00:00,384.085,382.43925357316976
2019-01-08 17:00:00,356.247,350.04661444278327
2019-01-08 18:00:00,290.176,295.5759921463663
2019-01-08 19:00:00,161.909,186.59835099888053
2019-01-08 20:00:00,122.904,133.54454024998915
2019-01-08 21:00:00,108.215,110.14972745916143
2019-01-08 22:00:00,112.934,105.85405872407794
2019-01-08 23:00:00,104.55,112.15541358559851
2019-01-09 00:00:00,92.786,105.91752045537288
2019-01-09 01:00:00,95.523,95.8003698298416
2019-01-09 02:00:00,94.492,96.10684388628691
2019-01-09 03:00:00,95.661,97.25597928339853
2019-01-09 04:00:00,95.922,97.27998765812833
2019-01-09 05:00:00,93.947,98.56272188669273
2019-01-09 06:00:00,98.421,100.76537931544075
2019-01-09 07:00:00,93.798,129.78600209003963
2019-01-09 08:00:00,97.493,125.25748524979814
2019-01-09 09:00:00,90.08,131.00162685427713
2019-01-09 10:00:00,96.884,120.17103390738535
2019-01-09 11:00:00,100.372,108.6802451364879
2019-01-09 12:00:00,96.033,112.37507466579504
2019-01-09 13:00:00,99.333,108.91814945936669
2019-01-09 14:00:00,95.561,143.73006411768728
2019-01-09 15:00:00,98.777,100.22249540408886
2019-01-09 16:00:00,96.83,102.92155314663421
2019-01-09 17:00:00,97.428,105.48621567464963
2019-01-09 18:00:00,100.579,100.9172865712403
2019-01-09 19:00:00,95.166,101.72628877190614
2019-01-09 20:00:00,98.467,97.505890881216
2019-01-09 21:00:00,94.335,95.54460817656064
2019-01-09 22:00:00,94.365,94.4058456117018
2019-01-09 23:00:00,96.01,96.14386737724126
2019-01-10 00:00:00,117.733,98.52496439909109
2019-01-10 01:00:00,108.075,114.69530910854583
2019-01-10 02:00:00,112.416,106.66830335311484
2019-01-10 03:00:00,106.732,108.9868111662014
2019-01-10 04:00:00,111.404,105.06381673148202
2019-01-10 05:00:00,109.771,111.52303461678544
2019-01-10 06:00:00,128.371,112.23521551624265
2019-01-10 07:00:00,411.236,176.46686859136133
2019-01-10 08:00:00,362.104,325.5601648704235
2019-01-10 09:00:00,390.479,335.24931573523463
2019-01-10 10:00:00,453.085,365.98563883337346
2019-01-10 11:00:00,477.216,433.1663631787253
2019-01-10 12:00:00,488.286,451.0445027112502
2019-01-10 13:00:00,504.785,466.7328395833205
2019-01-10 15:00:00,515.127,460.56444149194846
2019-01-10 18:00:00,455.599,418.66142796730406
2019-01-10 19:00:00,233.274,193.99218796052813
2019-01-10 20:00:00,148.676,181.21709830493728
2019-01-10 21:00:00,123.322,118.15956895418081
2019-01-10 22:00:00,109.196,111.7426960774657
2019-01-10 23:00:00,109.2,107.95244735012453
2019-01-11 00:00:00,107.932,107.24225021339247
2019-01-11 01:00:00,105.032,104.50715605908958
2019-01-11 02:00:00,105.237,103.2243530396845
2019-01-11 03:00:00,104.117,103.2673479208903
2019-01-11 04:00:00,107.839,103.28893872882095
2019-01-11 05:00:00,104.101,107.64270918205602
2019-01-11 06:00:00,230.904,108.04021162138477
2019-01-11 07:00:00,203.026,270.59911257963535
2019-01-11 08:00:00,190.582,235.65103089698061
2019-01-11 09:00:00,173.741,224.3589149294244
2019-01-11 10:00:00,126.112,204.46947748497018
2019-01-11 11:00:00,130.169,135.2601938570834
2019-01-11 12:00:00,127.005,128.17704516630758
2019-01-11 13:00:00,128.443,126.0896065544702
2019-01-11 14:00:00,127.916,127.37250962931434
2019-01-11 15:00:00,131.264,125.51696640971177
2019-01-11 16:00:00,127.707,127.22731537083692
2019-01-11 17:00:00,132.147,123.98746855598601
2019-01-11 18:00:00,127.093,125.93616416949442
2019-01-11 19:00:00,116.256,120.15057280480713
2019-01-11 20:00:00,110.053,111.33362592401222
2019-01-11 21:00:00,105.455,104.01220011874022
2019-01-11 22:00:00,107.87,115.82763607544192
2019-01-11 23:00:00,103.211,106.18027575716692
2019-01-12 00:00:00,101.171,102.00964103656914
2019-01-12 01:00:00,100.991,100.22894089481616
2019-01-12 02:00:00,98.453,100.47243475333859
2019-01-12 03:00:00,98.938,98.74807686552107
2019-01-12 04:00:00,101.973,98.939211390411
2019-01-12 05:00:00,97.535,100.13356657820943
2019-01-12 06:00:00,98.664,97.38524317904492
2019-01-12 07:00:00,104.107,109.42282770207707
2019-01-12 08:00:00,99.225,114.16813548854184
2019-01-12 09:00:00,97.973,108.2062949690121
2019-01-12 10:00:00,106.693,107.52761158775722
2019-01-12 11:00:00,100.643,122.77683200805248
2019-01-12 12:00:00,100.291,106.84763738131802
2019-01-12 13:00:00,104.048,105.94509156656888
2019-01-12 14:00:00,101.538,107.28556652431878
2019-01-12 15:00:00,100.185,101.87174757393186
2019-01-12 16:00:00,106.279,101.74815364407922
2019-01-12 17:00:00,98.598,106.91040718454713
2019-01-12 18:00:00,99.106,97.91908208564563
2019-01-12 19:00:00,100.145,97.63782256885969
2019-01-12 20:00:00,103.989,99.73069969080142
2019-01-12 21:00:00,97.191,99.97451680915711
2019-01-12 22:00:00,99.225,96.92306971121765
2019-01-12 23:00:00,100.029,97.8279780036814
2019-01-13 00:00:00,99.828,122.36356761447645
2019-01-13 01:00:00,97.938,100.48375574030149
2019-01-13 02:00:00,101.342,97.39520391925082
2019-01-13 03:00:00,99.13,100.25548654324493
2019-01-13 04:00:00,97.773,98.68249750432504
2019-01-13 05:00:00,99.421,97.59703481058153
2019-01-13 06:00:00,100.629,98.81703538520237
2019-01-13 07:00:00,100.085,105.50304604911588
2019-01-13 08:00:00,101.76,125.45081705272962
2019-01-13 09:00:00,105.083,104.22417128165827
2019-01-13 10:00:00,105.156,106.14709768775617
2019-01-13 11:00:00,107.537,105.9066115262566
2019-01-13 12:00:00,107.885,109.29983672596971
2019-01-13 13:00:00,109.373,109.16205727749809
2019-01-13 14:00:00,105.773,108.04038321352054
2019-01-13 15:00:00,104.773,106.78782980650651
2019-01-13 16:00:00,104.497,105.80297962316709
2019-01-13 17:00:00,111.094,105.27109926258262
2019-01-13 18:00:00,105.559,109.61282296493832
2019-01-13 19:00:00,105.263,105.47853120065093
2019-01-13 20:00:00,104.619,104.14363313904713
2019-01-13 21:00:00,109.852,101.43828579745099
2019-01-13 22:00:00,103.032,105.48714917208522
2019-01-13 23:00:00,100.617,99.98168760340488
2019-01-14 00:00:00,104.343,100.7386095806828
2019-01-14 01:00:00,101.641,104.10886844038934
2019-01-14 02:00:00,102.776,104.18021331830491
2019-01-14 03:00:00,100.119,101.2909348821769
2019-01-14 04:00:00,104.317,100.80007331654399
2019-01-14 05:00:00,102.756,104.61034610922725
2019-01-14 06:00:00,110.289,105.94911719204933
2019-01-14 07:00:00,159.908,223.85813678052784
2019-01-14 08:00:00,206.337,195.37616087847735
2019-01-14 09:00:00,234.132,244.9013596710048
2019-01-14 10:00:00,263.856,268.94033726086246
2019-01-14 11:00:00,325.615,277.12808526121967
2019-01-14 12:00:00,280.451,316.89456325277934
2019-01-14 13:00:00,295.991,274.5408039243659
2019-01-14 14:00:00,304.125,312.54216614009005
2019-01-14 15:00:00,308.112,310.38412199629363
2019-01-14 16:00:00,294.829,303.65986599488724
2019-01-14 17:00:00,269.25,257.7338751390715
2019-01-14 18:00:00,226.608,224.23593642773304
2019-01-14 19:00:00,174.723,186.3135751924505
2019-01-14 20:00:00,155.469,141.75877671737464
2019-01-14 21:00:00,126.818,120.18161645464963
2019-01-14 22:00:00,112.899,113.58530551125115
2019-01-14 23:00:00,111.876,111.38134208922486
2019-01-15 00:00:00,105.547,109.18557211182282
2019-01-15 01:00:00,103.665,106.52196634862483
2019-01-15 02:00:00,106.325,107.5119778304507
2019-01-15 03:00:00,103.032,104.42468342548767
2019-01-15 04:00:00,103.305,107.76898914413778
2019-01-15 05:00:00,108.016,105.96373245381002
