date,Power_kW,NN_pred
2019-01-05 16:00:00,184.627,166.12242517007383
2019-01-05 17:00:00,190.753,168.07900075354095
2019-01-05 18:00:00,195.251,170.60782464866466
2019-01-05 19:00:00,146.042,171.87580315689064
2019-01-05 20:00:00,129.314,120.74460474263003
2019-01-05 21:00:00,124.963,112.4867392635318
2019-01-05 22:00:00,104.955,111.23147624372784
2019-01-05 23:00:00,105.516,101.03415436543594
2019-01-07 00:00:00,101.235,96.36638020220354
2019-01-07 01:00:00,95.956,98.18121108978605
2019-01-07 02:00:00,98.336,102.10848309367253
2019-01-07 03:00:00,102.791,110.8807834298506
2019-01-07 04:00:00,98.346,111.41383316039739
2019-01-07 05:00:00,98.923,104.29120435379004
2019-01-07 06:00:00,110.653,94.03560033291747
2019-01-07 07:00:00,368.139,169.49693039888595
2019-01-07 08:00:00,263.814,337.9354598466316
2019-01-07 09:00:00,322.372,293.3955479539991
2019-01-07 10:00:00,344.52,333.9916033367645
2019-01-07 11:00:00,389.494,355.2484334812155
2019-01-07 12:00:00,380.159,388.1882009412871
2019-01-07 13:00:00,366.705,387.46564495603474
2019-01-07 14:00:00,378.787,369.5989126134339
2019-01-07 15:00:00,429.535,337.56046808766047
2019-01-07 16:00:00,399.23,377.12357766242746
2019-01-07 17:00:00,378.622,341.3485760055387
2019-01-07 18:00:00,356.039,315.13212972551264
2019-01-07 19:00:00,195.121,286.75144697389675
2019-01-07 20:00:00,143.578,146.66713686658463
2019-01-07 21:00:00,114.923,116.85605556219234
2019-01-07 22:00:00,116.434,106.49910930323394
2019-01-07 23:00:00,110.868,108.33925131010635
2019-01-08 00:00:00,116.142,99.01152308927487
2019-01-08 01:00:00,108.409,107.85147904212992
2019-01-08 11:00:00,356.883,131.77969775301824
2019-01-08 12:00:00,385.351,365.28909580501175
2019-01-08 13:00:00,400.277,388.42132261608157
2019-01-08 14:00:00,381.394,398.0653917381254
2019-01-08 15:00:00,385.3,337.37882768581204
2019-01-08 16:00:00,384.085,334.0403635429548
2019-01-08 17:00:00,356.247,324.30858416408546
2019-01-08 18:00:00,290.176,290.5266006439611
2019-01-08 19:00:00,161.909,221.27411445601862
2019-01-08 20:00:00,122.904,124.71554865381442
2019-01-08 21:00:00,108.215,109.76950054882498
2019-01-08 22:00:00,112.934,102.19742646212732
2019-01-08 23:00:00,104.55,105.87620374276788
2019-01-09 00:00:00,92.786,98.50486706225075
