date,Power_kW,LR_pred
2019-01-05 16:00:00,184.627,174.3953515275848
2019-01-05 17:00:00,190.753,172.15099925151247
2019-01-05 18:00:00,195.251,175.7154273322401
2019-01-05 19:00:00,146.042,178.3411621030201
2019-01-05 20:00:00,129.314,114.37256289961753
2019-01-05 21:00:00,124.963,99.93852451074655
2019-01-05 22:00:00,104.955,95.4759545763066
2019-01-05 23:00:00,105.516,78.42010076583762
2019-01-07 00:00:00,101.235,117.2551600696227
2019-01-07 01:00:00,95.956,113.10943877062172
2019-01-07 02:00:00,98.336,107.36037672763528
2019-01-07 03:00:00,102.791,107.32840261013399
2019-01-07 04:00:00,98.346,109.96933976575438
2019-01-07 05:00:00,98.923,105.69529642414042
2019-01-07 06:00:00,110.653,104.39134108963208
2019-01-07 07:00:00,368.139,160.03108757913185
2019-01-07 08:00:00,263.814,363.3702553039794
2019-01-07 09:00:00,322.372,280.17410368197386
2019-01-07 10:00:00,344.52,326.8904787204042
2019-01-07 11:00:00,389.494,344.2849416139555
2019-01-07 12:00:00,380.159,379.65844743830763
2019-01-07 13:00:00,366.705,371.87969274967907
2019-01-07 14:00:00,378.787,360.65909840833825
2019-01-07 15:00:00,429.535,346.2237909874369
2019-01-07 16:00:00,399.23,385.4277639051677
2019-01-07 17:00:00,378.622,360.22897741599377
2019-01-07 18:00:00,356.039,343.0641546703017
2019-01-07 19:00:00,195.121,324.13186732339085
2019-01-07 20:00:00,143.578,171.85242960460133
2019-01-07 21:00:00,114.923,129.3440333531629
2019-01-07 22:00:00,116.434,104.79017187567706
2019-01-07 23:00:00,110.868,104.17797904790017
2019-01-08 00:00:00,116.142,119.33747556620098
2019-01-08 01:00:00,108.409,122.01730878520416
2019-01-08 11:00:00,356.883,152.65645433384486
2019-01-08 12:00:00,385.351,349.39771271108043
2019-01-08 13:00:00,400.277,371.9679648123684
2019-01-08 14:00:00,381.394,384.20876597776487
2019-01-08 15:00:00,385.3,345.2500160586222
2019-01-08 16:00:00,384.085,347.6191812392084
2019-01-08 17:00:00,356.247,344.9339044965746
2019-01-08 18:00:00,290.176,321.5143241391178
2019-01-08 19:00:00,161.909,267.7560019426422
2019-01-08 20:00:00,122.904,141.27206374338485
2019-01-08 21:00:00,108.215,109.64629163928774
2019-01-08 22:00:00,112.934,96.9772834473901
2019-01-08 23:00:00,104.55,99.38003545982325
2019-01-09 00:00:00,92.786,111.38515970603106
2019-01-09 01:00:00,95.523,101.01783849151738
2019-01-09 02:00:00,94.492,101.21731743215607
2019-01-09 03:00:00,95.661,98.36611676331508
2019-01-09 04:00:00,95.922,97.92973401708042
2019-01-09 05:00:00,93.947,97.58049522195158
2019-01-09 06:00:00,98.421,94.4275278919075
2019-01-09 07:00:00,93.798,144.48436865390187
2019-01-09 08:00:00,97.493,139.6661190341789
2019-01-09 09:00:00,90.08,141.35195864307235
2019-01-09 10:00:00,96.884,136.0273910965479
2019-01-09 11:00:00,100.372,142.28602855320088
2019-01-09 12:00:00,96.033,144.29510011070835
2019-01-09 13:00:00,99.333,141.87101784066823
2019-01-09 14:00:00,95.561,143.49334002573698
2019-01-09 15:00:00,98.777,115.89739064264745
2019-01-09 16:00:00,96.83,117.50147989939714
2019-01-09 17:00:00,97.428,114.70831956811323
2019-01-09 18:00:00,100.579,113.15543199950645
2019-01-09 19:00:00,95.166,114.37245285153597
2019-01-09 20:00:00,98.467,85.1057625515092
2019-01-09 21:00:00,94.335,86.2622569449431
2019-01-09 22:00:00,94.365,81.77059131997339
2019-01-09 23:00:00,96.01,80.82627952403325
2019-01-10 00:00:00,117.733,100.41361870684551
2019-01-10 01:00:00,108.075,115.88364578362605
2019-01-10 02:00:00,112.416,107.64234029684769
2019-01-10 03:00:00,106.732,109.96311875870752
2019-01-10 04:00:00,111.404,104.49941295561241
2019-01-10 05:00:00,109.771,107.17833372473515
2019-01-10 06:00:00,128.371,104.85726272596898
2019-01-10 07:00:00,411.236,165.51549019743942
2019-01-10 08:00:00,362.104,388.7546617511971
2019-01-10 09:00:00,390.479,349.0210215091215
2019-01-10 10:00:00,453.085,370.53134249993496
2019-01-10 11:00:00,477.216,419.42279585620474
2019-01-10 12:00:00,488.286,438.0301196113669
2019-01-10 13:00:00,504.785,446.6011783137578
2019-01-10 15:00:00,515.127,435.7451911892034
2019-01-10 18:00:00,455.599,440.41649327617444
2019-01-10 19:00:00,233.274,391.6839958854827
2019-01-10 20:00:00,148.676,190.39232347381437
2019-01-10 21:00:00,123.322,121.86125426594188
2019-01-10 22:00:00,109.196,100.58321370358757
2019-01-10 23:00:00,109.2,88.00215513628534
2019-01-11 00:00:00,107.932,106.50649099869243
2019-01-11 01:00:00,105.032,103.98409337100263
2019-01-11 02:00:00,105.237,100.40797547940667
2019-01-11 03:00:00,104.117,99.23240785612094
2019-01-11 04:00:00,107.839,97.06359549991143
2019-01-11 05:00:00,104.101,98.80848950224592
2019-01-11 06:00:00,230.904,94.67445255321738
2019-01-11 07:00:00,203.026,241.2417750887723
2019-01-11 08:00:00,190.582,218.2332111742264
2019-01-11 09:00:00,173.741,207.82641351300276
2019-01-11 10:00:00,126.112,193.78490447475946
2019-01-11 11:00:00,130.169,155.65366961355062
2019-01-11 12:00:00,127.005,158.88231876753233
